,open,high,low,close,volume,sma_7,sma_21,ema_7,ema_21,rsi_14,daily_return,high_low_spread,close_open_diff,dayofweek,month,is_weekend
2014-09-17,465.864013671875,468.17401123046875,452.4219970703125,457.3340148925781,21056800.0,417.4625723702567,387.3521423339844,457.3340148925781,457.3340148925781,31.997433088432956,-0.07192557601231186,15.75201416015625,-8.529998779296875,2,9,0
2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.44000244140625,34483200.0,417.4625723702567,387.3521423339844,449.11051177978516,454.34365012428975,31.997433088432956,-0.07192557601231186,43.7559814453125,-32.41998291015625,3,9,0
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,37919700.0,417.4625723702567,387.3521423339844,435.53188133239746,448.93022647573923,31.997433088432956,-0.06984264508683824,43.302978515625,-29.3070068359375,4,9,0
2014-09-20,394.6730041503906,423.2959899902344,389.88299560546875,408.90399169921875,36863600.0,417.4625723702567,387.3521423339844,428.8749089241028,445.2914778596919,31.997433088432956,0.03573491642945337,33.412994384765625,14.230987548828125,5,9,1
2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,26580100.0,417.4625723702567,387.3521423339844,421.3614352941513,441.0668902728378,31.997433088432956,-0.02465854454739269,19.2449951171875,-9.26397705078125,6,9,1
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,24127600.0,417.4625723702567,387.3521423339844,416.55907848477364,437.52917370772894,31.997433088432956,0.008352101649706567,9.785980224609375,3.052001953125,0,9,0
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,45099500.0,417.4625723702567,387.3521423339844,421.3670551404357,437.3711565622464,31.997433088432956,0.08364741783421215,45.360015869140625,33.698974609375,1,9,0
2014-09-24,435.7510070800781,436.11199951171875,421.1319885253906,423.2049865722656,30627700.0,412.58699689592635,387.3521423339844,421.8265379983932,436.0833229267936,31.997433088432956,-0.028880814347395978,14.980010986328125,-12.5460205078125,2,9,0
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,26814400.0,410.7489972795759,387.3521423339844,419.26340478053316,433.8552031268081,31.997433088432956,-0.027483091679796234,14.052001953125,-11.582000732421875,3,9,0
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.42498779296875,21460800.0,412.1245683942522,387.3521423339844,415.55380053364206,431.17972900555,31.997433088432956,-0.017369943788794973,14.928985595703125,-7.003997802734375,4,9,0
2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,15029300.0,410.78399658203125,387.3521423339844,411.5453476536495,428.3015708244701,31.997433088432956,-0.012128327693262664,9.2509765625,-4.0360107421875,5,9,1
