Date,open,high,low,close,volume
2024-05-09,61191.19921875,63404.9140625,60648.07421875,63049.9609375,25453338161
2024-05-10,63055.19140625,63446.7421875,60208.78125,60792.77734375,27804954694
2024-05-11,60793.35546875,61451.15234375,60492.625,60793.7109375,13842272968
2024-05-12,60793.50390625,61818.15625,60632.6015625,61448.39453125,13800459405
2024-05-13,61451.21875,63422.66015625,60769.83984375,62901.44921875,27889181179
2024-05-14,62900.7734375,63092.125,61123.765625,61552.7890625,28186271527
2024-05-15,61553.98828125,66454.453125,61330.41015625,66267.4921875,39815167074
2024-05-16,66256.109375,66712.4296875,64613.0546875,65231.58203125,31573077994
2024-05-17,65231.296875,67459.4609375,65119.31640625,67051.875,28031279310
2024-05-18,67066.2109375,67387.328125,66663.5,66940.8046875,16712277406
2024-05-19,66937.9296875,67694.296875,65937.1796875,66278.3671875,19249094538
2024-05-20,66278.7421875,71483.5625,66086.171875,71448.1953125,43850655717
2024-05-21,71443.0625,71946.4609375,69191.125,70136.53125,46932005990
2024-05-22,70135.3203125,70623.6953125,68977.6953125,69122.3359375,32802561717
2024-05-23,69121.3046875,70041.2734375,66356.953125,67929.5625,41895680979
2024-05-24,67928.1328125,69220.296875,66622.671875,68526.1015625,29197308153
2024-05-25,68526.921875,69579.3203125,68515.8203125,69265.9453125,15473071741
2024-05-26,69264.2890625,69506.2265625,68183.890625,68518.09375,15628433737
2024-05-27,68512.1796875,70597.8828125,68232.5,69394.5546875,25870990717
2024-05-28,69392.1953125,69514.640625,67227.15625,68296.21875,32722265965
2024-05-29,68296.3515625,68852.4609375,67101.4921875,67578.09375,26707072906
2024-05-30,67576.0859375,69500.5390625,67118.078125,68364.9921875,29509712534
2024-05-31,68362.515625,68999.5625,66633.421875,67491.4140625,27387283769
2024-06-01,67489.609375,67839.765625,67386.1953125,67706.9375,11641495604
2024-06-02,67710.2734375,68409.1640625,67315.5234375,67751.6015625,17110588415
2024-06-03,67753.8984375,70230.8203125,67589.8359375,68804.78125,32401285324
2024-06-04,68804.5703125,71047.40625,68564.640625,70567.765625,33149696545
2024-06-05,70568.3515625,71735.4140625,70390.7109375,71082.8203125,32810771409
2024-06-06,71082.84375,71625.734375,70119.125,70757.1640625,25223152007
2024-06-07,70759.1875,71907.8515625,68507.2578125,69342.5859375,36188381096
2024-06-08,69324.1796875,69533.3203125,69210.7421875,69305.7734375,14262185861
2024-06-09,69297.4921875,69817.5234375,69160.84375,69647.9921875,13534028500
2024-06-10,69644.3125,70146.0703125,69232.421875,69512.28125,20597699541
2024-06-11,69508.078125,69549.4140625,66123.6015625,67332.03125,37116136345
2024-06-12,67321.375,69977.890625,66902.453125,68241.1875,34497940694
2024-06-13,68243.1015625,68365.78125,66304.5625,66756.3984375,28955204146
2024-06-14,66747.5703125,67294.6484375,65056.89453125,66011.09375,27403884779
2024-06-15,66006.7421875,66402.1875,65871.7734375,66191.0,14121265576
2024-06-16,66189.359375,66894.84375,66018.25,66639.046875,13281140541
2024-06-17,66636.515625,67188.3203125,65094.96484375,66490.296875,30006354476
2024-06-18,66490.9765625,66556.703125,64066.95703125,65140.74609375,39481285950
2024-06-19,65146.66015625,65695.3515625,64693.30078125,64960.296875,21103423504
2024-06-20,64960.296875,66438.9609375,64547.84765625,64828.65625,25641109124
2024-06-21,64837.98828125,65007.546875,63378.89453125,64096.19921875,26188171739
2024-06-22,64113.86328125,64475.46875,63929.7578125,64252.578125,9858198793
2024-06-23,64248.96484375,64491.703125,63180.796875,63180.796875,11170471802
2024-06-24,63173.3515625,63292.52734375,58601.69921875,60277.4140625,43152133651
2024-06-25,60266.28125,62258.26171875,60239.75,61804.640625,29201215431
2024-06-26,61789.67578125,62434.13671875,60695.1875,60811.27734375,22506003064
2024-06-27,60811.2265625,62293.86328125,60585.33203125,61604.80078125,21231745045
2024-06-28,61612.8046875,62126.09765625,59985.40234375,60320.13671875,24952866877
2024-06-29,60319.875,61097.62109375,60300.96484375,60887.37890625,12652903396
2024-06-30,60888.4453125,62892.828125,60632.94921875,62678.29296875,17333226409
2024-07-01,62673.60546875,63777.2265625,62495.51171875,62851.98046875,25468379421
2024-07-02,62844.41015625,63203.359375,61752.74609375,62029.015625,20151616992
2024-07-03,62034.33203125,62187.703125,59419.38671875,60173.921875,29756701685
2024-07-04,60147.13671875,60399.67578125,56777.8046875,56977.703125,41149609230
2024-07-05,57022.80859375,57497.15234375,53717.375,56662.375,55417544033
2024-07-06,56659.07421875,58472.546875,56038.9609375,58303.5390625,20610320577
2024-07-07,58239.4296875,58371.12109375,55793.32421875,55849.109375,20553359505
2024-07-08,55849.57421875,58131.3359375,54321.01953125,56705.09765625,39766159899
2024-07-09,56704.59765625,58239.1953125,56316.875,58009.2265625,27849512607
2024-07-10,58033.8828125,59359.43359375,57178.4140625,57742.49609375,26175260526
2024-07-11,57729.890625,59299.43359375,57120.37890625,57344.9140625,28707803842
2024-07-12,57341.1953125,58532.5546875,56590.17578125,57899.46484375,25604805221
2024-07-13,57908.73828125,59787.078125,57796.44140625,59231.953125,17080061806
2024-07-14,59225.25,61329.52734375,59225.25,60787.79296875,22223416061
2024-07-15,60815.45703125,64870.15234375,60704.9296875,64870.15234375,38094526099
2024-07-16,64784.41796875,65354.33984375,62487.96875,65097.1484375,41617346768
2024-07-17,65091.83203125,66066.734375,63896.0859375,64118.79296875,32525071311
2024-07-18,64104.73828125,65104.66015625,63246.1640625,63974.06640625,27239305337
2024-07-19,63972.32421875,67442.640625,63329.34375,66710.15625,37003855410
2024-07-20,66709.921875,67610.734375,66299.6171875,67163.6484375,19029581250
2024-07-21,67164.9140625,68372.90625,65842.296875,68154.5234375,26652190004
2024-07-22,68152.9765625,68480.0625,66611.296875,67585.25,42649109453
2024-07-23,67584.8046875,67779.015625,65484.4609375,65927.671875,35605668666
2024-07-24,65927.859375,67113.984375,65146.99609375,65372.1328125,27470942309
2024-07-25,65375.875,66112.421875,63473.47265625,65777.2265625,38315761670
2024-07-26,65771.8125,68207.6015625,65743.765625,67912.0625,30488630457
2024-07-27,67911.8125,69398.5078125,66705.21875,67813.3359375,34691905492
2024-07-28,67808.65625,68301.8515625,67085.828125,68255.8671875,18043166945
2024-07-29,68259.0546875,69987.5390625,66532.59375,66819.9140625,40780682628
2024-07-30,66819.0546875,66987.671875,65323.19140625,66201.015625,31380492109
2024-07-31,66201.2734375,66810.2109375,64532.046875,64619.25,31292785994
2024-08-01,64625.83984375,65593.2421875,62248.94140625,65357.5,40975554494
2024-08-02,65353.5,65523.22265625,61184.89453125,61415.06640625,43060875727
2024-08-03,61414.80859375,62148.37109375,59836.52734375,60680.09375,31753030589
2024-08-04,60676.09375,61062.98828125,57210.8046875,58116.9765625,31758917219
2024-08-05,58110.296875,58268.828125,49121.23828125,53991.45703125,108991085584
2024-08-06,53991.34765625,57059.91796875,53973.2734375,56034.31640625,49300484106
2024-08-07,56040.6328125,57726.8828125,54620.5078125,55027.4609375,41637562185
2024-08-08,55030.02734375,62673.765625,54766.7265625,61710.13671875,45298472567
2024-08-09,61728.20703125,61751.86328125,59587.859375,60880.11328125,33425553115
2024-08-10,60881.23046875,61464.51171875,60287.56640625,60945.8125,15745822278
2024-08-11,60944.890625,61778.66015625,58348.82421875,58719.484375,22759754812
2024-08-12,58719.39453125,60680.33203125,57688.8984375,59354.515625,37078637820
